Image type	Feature Class	Feature Name	ROI_45_segment_Mass
wavelet-LHH	glcm	DifferenceAverage	0.4202494775954407
wavelet-LHH	glcm	DifferenceEntropy	0.9629865943476575
wavelet-LHH	glcm	DifferenceVariance	0.23753676461847134
wavelet-LHH	glcm	Id	0.7898752612022797
wavelet-LHH	glcm	Idm	0.7898752612022797
wavelet-LHH	glcm	Idmn	0.9159501044809121
wavelet-LHH	glcm	Idn	0.8599168408015199
wavelet-LHH	glcm	Imc1	-0.03578306356769983
wavelet-LHH	glcm	Imc2	0.1779581434780666
wavelet-LHH	glcm	InverseVariance	0.4202494775954407
wavelet-LHH	glcm	JointAverage	1.5449554714737337
wavelet-LHH	glcm	JointEnergy	0.26653462413094164
wavelet-LHH	glcm	JointEntropy	1.9526728951710648
wavelet-LHH	glcm	MCC	0.15332850047546104
wavelet-LHH	glcm	MaximumProbability	0.3348307326760135
wavelet-LHH	glcm	SumAverage	3.0899109429474674
wavelet-LHH	glcm	SumEntropy	1.5324234175756244
wavelet-LHH	glcm	SumSquares	0.24796430562529354
wavelet-LHH	gldm	DependenceEntropy	5.27277960666404
wavelet-LHH	gldm	DependenceNonUniformity	172.75
wavelet-LHH	gldm	DependenceNonUniformityNormalized	0.05638054830287206
wavelet-LHH	gldm	DependenceVariance	23.971967478815728
wavelet-LHH	gldm	GrayLevelNonUniformity	1541.2434725848564
wavelet-LHH	gldm	GrayLevelVariance	0.24849160042675322
wavelet-LHH	gldm	HighGrayLevelEmphasis	2.616514360313316
wavelet-LHH	gldm	LargeDependenceEmphasis	161.1462140992167
wavelet-LHH	gldm	LargeDependenceHighGrayLevelEmphasis	453.0088120104439
wavelet-LHH	gldm	LargeDependenceLowGrayLevelEmphasis	88.18056462140993
wavelet-LHH	gldm	LowGrayLevelEmphasis	0.595871409921671
wavelet-LHH	gldm	SmallDependenceEmphasis	0.02337192826460984
wavelet-LHH	gldm	SmallDependenceHighGrayLevelEmphasis	0.05466522269469066
wavelet-LHH	gldm	SmallDependenceLowGrayLevelEmphasis	0.015548604657089633
wavelet-LHH	glrlm	GrayLevelNonUniformity	901.4532848312216
wavelet-LHH	glrlm	GrayLevelNonUniformityNormalized	0.5003377819696077
wavelet-LHH	glrlm	GrayLevelVariance	0.24983110901519617
wavelet-LHH	glrlm	HighGrayLevelRunEmphasis	2.5344825884837143
wavelet-LHH	glrlm	LongRunEmphasis	4.502005535861487
wavelet-LHH	glrlm	LongRunHighGrayLevelEmphasis	12.314181420162457
wavelet-LHH	glrlm	LongRunLowGrayLevelEmphasis	2.548961564786246
wavelet-LHH	glrlm	LowGrayLevelRunEmphasis	0.6163793528790714
wavelet-LHH	glrlm	RunEntropy	2.6444267423366767
wavelet-LHH	glrlm	RunLengthNonUniformity	798.3357801566478
wavelet-LHH	glrlm	RunLengthNonUniformityNormalized	0.4309909183707893
wavelet-LHH	glrlm	RunPercentage	0.5879945772243421
wavelet-LHH	glrlm	RunVariance	1.3677877369149805
wavelet-LHH	glrlm	ShortRunEmphasis	0.6629814922648068
wavelet-LHH	glrlm	ShortRunHighGrayLevelEmphasis	1.6381647834943942
wavelet-LHH	glrlm	ShortRunLowGrayLevelEmphasis	0.4191856694574101
wavelet-LHH	glszm	GrayLevelNonUniformity	21.761904761904763
wavelet-LHH	glszm	GrayLevelNonUniformityNormalized	0.518140589569161
wavelet-LHH	glszm	GrayLevelVariance	0.2409297052154195
wavelet-LHH	glszm	HighGrayLevelZoneEmphasis	2.2142857142857144
wavelet-LHH	glszm	LargeAreaEmphasis	105061.66666666667
